49.159909297,0,1.1
49.851587301,86.7456,1.2
50.526417233,88.9113,2.1
51.163469387,94.1838,2.2
51.826757369,90.4584,3.1
52.504512471,88.5275,3.2
53.184353741,88.2559,4.1
53.886485260,85.4541,4.2
54.556281179,89.5795,5.1
55.213401360,91.3075,5.2
55.882970521,89.6099,6.1
56.545873015,90.511,6.2
57.223605442,88.5305,7.1
57.835986394,97.9782,7.2
58.522585034,87.3873,8.1
59.176984126,91.6872,8.2
59.856893424,88.2471,9.1
60.518049886,90.7501,9.2
61.234535147,83.7421,10.1
61.969070294,81.6843,10.2
62.703764172,81.6667,11.1
63.371564625,89.8472,11.2
64.072086167,85.6505,12.1
64.829229024,79.2453,12.2
65.545782312,83.7342,13.1
66.241768707,86.2086,13.2
66.950430839,84.6666,14.1
67.658820861,84.6991,14.2
68.283424036,96.061,15.1
68.925260770,93.4817,15.2
69.571247165,92.8812,16.1
70.197165532,95.8591,16.2
70.840294784,93.2938,17.1
71.530204081,86.968,17.2
72.196462585,90.0551,18.1
72.840612244,93.1461,18.2
73.529229024,87.1312,19.1
74.183514739,91.7031,19.2
74.846893424,90.4461,20.1
75.457142857,98.3204,20.2
76.128140589,89.4191,21.1
76.775623582,92.6665,21.2
77.469274376,86.4989,22.1
78.119750566,92.2401,22.2
78.810362811,86.8794,23.1
79.488775510,88.4417,23.2
80.148888888,90.8935,24.1
80.783968253,94.4764,24.2
81.494648526,84.4261,25.1
82.173877551,88.3354,25.2
82.860045351,87.4422,26.1
83.553832199,86.4819,26.2
84.225510204,89.3285,27.1
84.919274376,86.4847,27.2
85.568866213,92.3657,28.1
86.246303854,88.569,28.2
86.915714285,89.6311,29.1
87.594920634,88.3384,29.2
88.242086167,92.712,30.1
88.928027210,87.4711,30.2
89.640136054,84.2568,31.1
90.293922902,91.773,31.2
90.973219954,88.3266,32.1
91.605668934,94.8693,32.2
92.269274376,90.4152,33.1
92.908321995,93.8897,33.2
93.571383219,90.4894,34.1
94.197369614,95.8487,34.2
94.881950113,87.6449,35.1
95.530294784,92.5434,35.2
96.208367346,88.4861,36.1
96.905351473,86.0852,36.2
97.574036281,89.7284,37.1
98.222517006,92.524,37.2
98.911201814,87.1226,38.1
99.571768707,90.8311,38.2
100.257755102,87.4653,39.1
100.998866213,80.9595,39.2
101.768662131,77.9427,40.1
102.487641723,83.4516,40.2
103.120272108,94.8421,41.1
103.792403628,89.2682,41.2
104.454807256,90.5792,42.1
105.093537414,93.9364,42.2
105.734217687,93.6505,43.1
106.404036281,89.5765,43.2
107.044671201,93.6571,44.1
107.685691609,93.6008,44.2
108.340340136,91.6522,45.1
108.982267573,93.4685,45.2
109.658707482,88.6997,46.1
110.291383219,94.8353,46.2
110.961360544,89.5553,47.1
111.593786848,94.8727,47.2
112.304920634,84.3723,48.1
112.944761904,93.7733,48.2
113.630612244,87.4826,49.1
114.316780045,87.4422,49.2
115.018639455,85.4872,50.1
115.704444444,87.4884,50.2
116.415034013,84.4369,51.1
117.062131519,92.7217,51.2
117.719002267,91.3422,52.1
118.405170068,87.4422,52.2
119.059818594,91.6522,53.1
119.730000000,89.528,53.2
120.362562358,94.8523,54.1
120.995147392,94.8489,54.2
121.643673469,92.5175,55.1
122.276326530,94.8387,55.2
122.915396825,93.8864,56.1
123.586916099,89.3496,56.2
124.249863945,90.5049,57.1
124.882335600,94.8659,57.2
125.545532879,90.4708,58.1
126.162063492,97.3188,58.2
126.825419501,90.4492,59.1
